pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,tfopwg_disp
2.5861465,1.299,2510.0,11.9748,271.803,1131.0,9.62418,273.491,5635.4,3.71,2.33,APC
11.1900486,2.9741507,567.7989939,1.6608182,31.192573,602.7435196,8.5049,36.9284,4958.0,4.66667,0.695992,APC
1.3254567,0.975,3365.0,14.4076,776.933,1470.0,10.8489,367.355,5778.0,3.74,2.29,APC
3.7321195,5.738,4180.0,19.158,5711.67,2421.0,10.5352,603.172,6570.0,3.68,2.8,APC
10.2207,3.848,300.0,2.95608,226.74,1081.0,7.3307,92.8913,6748.7,4.13,1.72,APC
4.3794298,1.6639354,969.6957616,2.3149088,120.9359556,845.782334,10.8545,113.387,4892.0,4.50955,0.742779,APC
6.8019625,2.9121651,15465.63742,29.3148832,501.9413628,1207.210477,10.223,251.884,6300.0,4.22,1.42268,APC
6.5638575,1.7124147,2132.17756,7.6270781,239.5709931,1003.40973,9.4906,121.321,5873.97,4.35182,1.08871,APC
14.1502269,3.8264451,41358.86639,18.6317683,34.4595552,617.9412206,12.2186,244.755,4882.0,4.45655,0.873952,APC
10.0509704,6.129,8660.0,13.5943,263.046,1121.0,10.8595,294.398,5844.0,4.16,1.41,APC
0.9499997,2.544,4200.0,14.0337,14232.8,3042.0,10.8207,557.364,7421.0,4.0,2.16,APC
3.05631,3.0708372,17308.36397,20.0727443,1530.297116,1595.194669,12.3775,701.717,6344.0,4.21787,1.44638,APC
0.3456911,0.648,2800.0,10.1929,18378.3,3243.0,11.5547,330.15,6282.0,4.3,1.05,APC
4.2217717,2.561,594.0,2.81922,305.107,1164.0,10.0106,165.441,5763.48,3.99846,1.21,APC
11.5472009,1.0326107,663.4411526,3.1457403,141.4530508,879.5749032,10.0106,165.441,5763.48,3.99846,1.20847,APC
2.50876,1.2523065,5830.060233,11.5931606,710.8584449,1316.938613,10.9896,193.007,5226.0,4.28,1.13416,APC
2.91615,1.481,2280.0,13.4791,253.391,1111.0,10.7837,558.211,6103.0,3.64,2.69,APC
17.14012,1.176,2180.0,8.14257,5.93171,434.0,10.8988,405.817,6378.0,4.1,1.67,APC
705.5844658,1.9189212,101204.846,17.179547,16.720729,515.743249,11.1427,64.77016,3689.0,4.78104,0.487,APC
26.5456672,2.582,8290.0,29.1697,28.3073,642.0,11.8248,543.564,6180.0,4.06,1.68,APC
32.8236817,15.237374,368.5500142,5.1519952,206.9642192,967.3721204,8.1526,179.828,6258.0,3.68336,2.63025,APC
1.3103832,1.6240216,3904.282474,9.8603222,1134.277973,1480.129192,11.0075,171.909,5228.0,4.45189,0.928507,APC
0.918902,1.781955,6718.849291,15.2109193,3475.711291,1958.306535,12.8483,568.299,5382.0,4.4,1.1659,APC
1.5933772,1.7732569,7842.022144,9.012542,785.5954321,1350.266481,12.0892,264.874,5289.4,4.5,0.885125,APC
1.440707,1.8086852,4514.403993,9.984491,2629.328398,1826.337168,11.0675,290.436,5941.2,4.3,1.1648901,APC
4.26991,1.509,2240.0,8.95578,667.336,1415.0,9.5103,223.852,6580.0,4.16,1.62,APC
1.4492052,1.104,1200.0,6.15666,551.777,1350.0,12.1323,439.747,6004.9,4.39,1.12,APC
1.1736318,1.397,1470.0,8.1147,1505.41,1735.0,11.6751,587.369,6033.7,3.92,1.93,APC
11.5738497,6.656,18730.0,22.4042,210.056,1060.0,11.8929,528.869,5782.0,4.04,1.61,APC
5.2524792,1.828,23400.0,20.7884,132.072,944.0,12.1103,457.57,5728.0,4.24,1.27,APC
17.1869882,3.845,3130.0,12.9307,97.2728,874.0,11.8402,439.569,6049.7,3.87,2.05,APC
1.6766585,1.528711,37391.94737,16.6532667,180.6590045,935.0496086,14.1858,288.642,4155.0,4.66247,0.622666,APC
3.1353607,1.438,8634.0,22.286,459.818,1290.0,10.459,174.593,5503.0,4.4,1.06,APC
5.6601098,1.5377473,8427.677888,12.3816484,361.1289137,1111.822132,11.8933,396.308,5859.8,4.4,1.1873699,APC
1.5099302,1.329,2230.0,8.891,1087.82,1599.0,11.4944,469.613,5735.0,3.96,1.76,APC
0.7988525,0.831,1700.0,4.00703,512.916,1325.0,12.2478,232.822,4785.0,4.45252,0.86,APC
3.4373093,4.3114755,15017.98012,25.668105,2497.485019,1802.998945,11.681,709.175,6046.0,4.29639,1.94932,APC
1.3808138,0.9133596,329.1752026,7.5531443,98886.49714,4522.764742,9.06657,594.987,9431.0,3.64947,3.83824,APC
0.6461571,1.1963822,6290.621139,15.3572514,4527.950887,2092.161358,11.0529,212.588,5256.8,4.27128,1.14951,APC
1.6473887,1.3242991,32325.76853,15.7358835,97.0829105,800.5813089,13.6732,190.748,3556.0,4.65625,0.594044,APC
0.515461,0.8502512,1462.424231,6.5688522,7358.819279,2362.227842,11.3357,279.5,5994.0,4.44879,1.03783,APC
1.426951,1.3367863,2881.710639,8.8281188,1289.465611,1528.347781,11.2451,215.394,5421.0,4.6,1.02349,APC
5.92777,2.5599954,12984.53647,20.4068988,1581.265122,1608.314297,11.0233,533.726,8343.0,4.36705,1.55754,APC
2.5574812,1.053,1860.0,17.7879,639.207,1400.0,10.7996,233.953,5844.0,4.33,1.13,APC
1.5339665,2.128,470.0,4.28924,3012.65,2063.0,10.7088,446.952,6694.0,4.02,1.92,APC
1.0021853,0.5001924,2319.997232,5.0155627,1409.402083,1562.710308,11.7497,190.596,5071.0,4.48308,0.874822,APC
5.563087,4.533,2520.0,9.04133,494.188,1313.0,10.8218,341.347,5491.4,3.85,1.72,APC
22.0819969,3.073,1019.0,2.28729,5.94816,435.0,8.2731,19.1419,4036.3,4.65,0.66,APC
2.1811989,0.428,2300.0,18.7156,149.461,974.0,11.8215,515.356,6125.96,4.17403,1.46,APC
8.0149323,4.6198374,4426.468912,9.5021286,320.0737304,1078.778438,10.7003,277.281,5886.2,4.25,1.3302799,APC
3.817421,2.47,1000.0,3.32507,529.596,1336.0,10.7212,212.383,6033.7,4.47,1.02,APC
16.2709828,1.835,5870.0,6.81631,5.83182,432.0,10.9058,127.734,4811.0,4.45,0.87,APC
7.234064,6.0205683,10621.87355,18.5228447,827.0806334,1367.749966,11.83,622.34,6770.0,4.11942,1.73783,APC
20.6006151,1.4716288,12106.67022,8.1782864,3.4585595,347.8112006,10.4767,36.2852,3821.0,4.74216,0.494575,APC
1.1645141,1.648221,1828.511982,6.3506237,3483.400761,1959.38875,11.4514,347.307,5979.0,4.29665,1.23369,APC
9.7439744,1.9764395,6711.059057,9.5314099,93.2116922,792.4782429,10.9206,235.146,5383.0,4.438,0.983025,APC
