koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
33.93373447,186.67608,0.812,14.561,8.5037e+03,7.34,430,8.11,236.1,5040,4.628,0.705,284.17233,49.360722,15.716
3.689920099,170.36571,0.151,2.6557,4.2670e+02,1.89,1147,408.99,35.6,5880,4.518,0.917,291.62241,50.61824,15.242
4.431238488,171.015,0.405,3.15,1.0109e+03,3.25,1104,351.23,71.1,5714,4.428,1.015,295.81616,51.121738,15.367
11.37936986,133.84992,0.911,2.6255,1.0235e+03,3.95,806,99.68,37.9,5714,4.428,1.015,295.81616,51.121738,15.367
26.39432897,176.05459,0.602,3.573,1.5109e+03,3.07,489,13.49,48.2,5129,4.595,0.763,289.39972,51.25032,15.234
13.57078281,136.279194,0.866,3.3539,5.1170e+02,2.64,785,89.61,88.4,5854,4.406,1.012,300.86398,44.337551,12.882
7.12594387,139.00492,0.898,3.0014,1.9240e+02,1.79,997,233.31,47.1,5779,4.339,1.087,287.88733,46.276241,12.791
7.442652004,169.9717797,0.137,2.3078,2.4446e+04,15.03,967,206.78,835.6,6108,4.469,0.956,288.98682,49.733742,15.27
16.38489988,172.72782,0.001,3.0249,1.1271e+03,2,433,8.35,28.9,4126,4.661,0.615,286.73804,49.97575,15.095
7.8774163,176.3759,0.041,2.0805,1.3061e+03,2.16,553,22.18,38.7,4126,4.661,0.615,286.73804,49.97575,15.095
36.4454001,151.60125,0.028,4.007,1.1223e+03,1.99,332,2.88,21.7,4126,4.661,0.615,286.73804,49.97575,15.095
3.728732147,171.793255,0.558,2.683,5.2265e+03,6.02,1023,258.34,345.2,5497,4.577,0.809,290.78574,50.054119,15.523
40.4195037,173.56469,0.911,3.362,6.2560e+03,7.51,467,11.29,36.9,5446,4.507,0.781,294.31686,50.080231,15.487
2.243380573,170.679233,0.915,1.1196,8.2170e+02,1.99,822,107.6,38.9,4149,4.698,0.564,285.17621,50.149818,15.135
10.40599802,177.197466,0.324,6.5036,1.4489e+04,11.23,833,113.94,745.2,5746,4.393,0.924,289.23553,50.241001,15.562
2.337437946,171.761982,0.28,1.9982,9.7120e+02,2.34,1070,311.16,82.4,5005,4.595,0.765,293.83331,50.23035,15.334
7.2406612,137.75545,1.198,0.558,5.5640e+02,19.45,734,68.63,13.7,5005,4.595,0.765,293.83331,50.23035,15.334
3.43591631,132.6624,0.624,3.133,2.3200e+01,0.55,1272,617.61,8.7,5779,4.339,1.087,287.88733,46.276241,12.791
