koi_period,koi_period_err1,koi_time0bk_err1,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_depth,koi_depth_err1,koi_prad,koi_prad_err1,koi_teq,koi_insol,koi_insol_err1,koi_model_snr,koi_tce_plnt_num,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_disposition_encoded
670.645531,0.001237,0.00157,0.701,0.004,-0.005,53.412,0.131,18090.6,33.5,14.14,2.13,196.0,0.35,0.15,642.7,1.0,0.032,-0.12,0.983,0.148,-0.049,0
61.2563628,0.000156,0.00209,1.248,6.912,-0.067,7.633,0.105,5123.3,70.6,39.87,12.79,505.0,15.43,14.85,85.3,1.0,0.072,-0.217,1.091,0.35,-0.15,0
38.3775486,0.0001602,0.00338,0.468,0.461,-0.267,5.588,0.113,724.2,23.4,2.82,0.37,529.0,18.53,6.72,34.7,1.0,0.121,-0.099,1.036,0.138,-0.124,2
41.19725502,9.345e-05,0.00171,0.045,0.337,-0.045,4.6297,0.0633,2213.9,45.5,3.86,0.15,439.0,8.76,1.27,51.2,2.0,0.083,-0.028,0.848,0.033,-0.072,2
6.252962249,9.577e-06,0.00117,0.105,0.329,-0.105,2.5819,0.0426,1036.9,24.5,2.65,0.1,823.0,108.3,15.73,47.1,3.0,0.083,-0.028,0.848,0.033,-0.072,2
16.01308419,4.854e-05,0.00243,0.799,0.097,-0.551,3.2554,0.0791,1121.9,39.4,3.1,0.34,593.0,29.31,11.77,33.2,1.0,0.092,-0.115,0.826,0.091,-0.082,2
32.62876672,5.801e-05,0.00138,0.021,0.402,-0.021,4.7971,0.058,1804.8,25.4,3.36,0.76,506.0,15.55,10.51,80.0,1.0,0.05,-0.15,0.798,0.181,-0.077,2
91.7732862,0.0007518,0.00643,0.606,0.335,-0.4,6.473,0.204,652.0,36.2,2.12,0.48,359.0,3.92,2.64,19.1,2.0,0.05,-0.15,0.798,0.181,-0.077,2
4.959319244,5.15e-07,8.27e-05,0.831,0.016,-0.004,2.22739,0.0075,9802.0,20.0,12.21,1.96,1103.0,349.4,146.52,696.5,1.0,0.11,-0.11,1.082,0.173,-0.13,2
2.701287801,5.634e-06,0.00164,1.016,3.967,-0.059,3.3827,0.0892,860.4,20.9,6.54,1.64,1222.0,527.81,411.33,48.3,1.0,0.091,-0.169,0.91,0.228,-0.105,0
4.49876511,1.777e-05,0.003,0.312,0.154,-0.312,3.7362,0.0934,460.0,17.5,2.1,0.65,1133.0,389.62,365.71,29.5,1.0,0.052,-0.208,0.969,0.3,-0.1,2
19.651209505,5.862e-06,0.000249,0.723,0.01,-0.02,5.2514,0.0179,11766.3,27.7,12.42,3.92,730.0,67.03,62.46,513.4,1.0,0.09,-0.21,1.063,0.336,-0.144,0
5.412203927,3.052e-06,0.000468,0.787,0.005,-0.565,2.9472,0.024,601.6,4.0,2.94,0.43,1093.0,337.68,137.29,166.7,1.0,0.132,-0.108,1.087,0.157,-0.142,2
41.43958662,7.557e-05,0.00142,0.355,0.04,-0.355,10.5989,0.088,2793.1,22.6,5.5,1.57,516.0,16.72,14.66,141.1,1.0,0.153,-0.187,1.046,0.297,-0.183,2
8.35389523,1.524e-05,0.00133,0.023,0.423,-0.023,2.2514,0.0518,1041.6,28.2,2.52,0.54,790.0,91.9,59.06,43.4,1.0,0.036,-0.144,0.787,0.169,-0.073,2
4.125543472,3.133e-06,0.000613,0.597,0.235,-0.367,3.1744,0.0362,1487.3,13.3,4.43,1.44,1243.0,565.35,542.47,128.6,1.0,0.056,-0.21,1.103,0.358,-0.128,2
2.816504904,1.65e-07,4.66e-05,0.105,0.264,-0.119,2.50587,0.00666,16813.7,11.0,12.21,1.62,1219.0,521.13,184.34,1406.8,1.0,0.063,-0.108,0.955,0.127,-0.068,2
33.93373447,6.154e-05,0.00137,0.812,0.006,-0.009,14.561,0.104,8503.7,44.3,7.34,0.9,430.0,8.11,3.25,236.1,1.0,0.03,-0.07,0.705,0.086,-0.058,0
3.689920099,8.982e-06,0.00191,0.151,0.304,-0.151,2.6557,0.0677,426.7,13.8,1.89,0.54,1147.0,408.99,342.24,35.6,1.0,0.046,-0.196,0.917,0.262,-0.098,2
4.431238488,6.106e-06,0.00111,0.405,0.041,-0.405,3.15,0.0423,1010.9,15.2,3.25,0.47,1104.0,351.23,135.26,71.1,1.0,0.063,-0.117,1.015,0.148,-0.079,2
11.37936986,2.415e-05,0.00183,0.911,0.009,-0.656,2.6255,0.073,1023.5,29.7,3.95,0.57,806.0,99.68,38.38,37.9,2.0,0.063,-0.117,1.015,0.148,-0.079,2
26.39432897,5.724e-05,0.00176,0.602,0.25,-0.396,3.573,0.0643,1510.9,36.3,3.07,0.41,489.0,13.49,6.07,48.2,1.0,0.03,-0.084,0.763,0.103,-0.055,2
13.57078281,1.585e-05,0.000957,0.866,0.015,-0.621,3.3539,0.0489,511.7,6.3,2.64,0.4,785.0,89.61,38.12,88.4,1.0,0.09,-0.11,1.012,0.154,-0.103,2
7.12594387,1.406e-05,0.00159,0.898,0.013,-0.699,3.0014,0.0384,192.4,4.4,1.79,0.26,997.0,233.31,94.86,47.1,2.0,0.132,-0.108,1.087,0.157,-0.142,2
7.442652004,7.02e-07,7.32e-05,0.137,0.346,-0.224,2.3078,0.0129,24446.2,37.8,15.03,4.73,967.0,206.78,195.52,835.6,1.0,0.07,-0.21,0.956,0.301,-0.1,0
16.38489988,5.219e-05,0.00248,0.001,0.437,-0.001,3.0249,0.0798,1127.1,42.0,2.0,0.09,433.0,8.35,1.49,28.9,2.0,0.022,-0.022,0.615,0.027,-0.029,2
7.8774163,1.493e-05,0.00147,0.041,0.409,-0.041,2.0805,0.0517,1306.1,37.7,2.16,0.09,553.0,22.18,3.97,38.7,1.0,0.022,-0.022,0.615,0.027,-0.029,2
36.4454001,0.0001809,0.00392,0.028,0.437,-0.028,4.007,0.126,1122.3,53.4,1.99,0.09,332.0,2.88,0.51,21.7,3.0,0.022,-0.022,0.615,0.027,-0.029,2
3.728732147,9.36e-07,0.000195,0.558,0.13,-0.149,2.683,0.035,5226.5,18.5,6.02,1.22,1023.0,258.34,162.58,345.2,1.0,0.034,-0.136,0.809,0.164,-0.07,2
40.4195037,0.0001139,0.00222,0.911,5.567,-0.118,3.362,0.14,6256.0,230.0,7.51,1.12,467.0,11.29,5.67,36.9,1.0,0.116,-0.105,0.781,0.116,-0.095,1
2.243380573,2.67e-06,0.0009,0.915,0.009,-0.63,1.1196,0.0384,821.7,25.6,1.99,0.1,822.0,107.6,21.47,38.9,1.0,0.024,-0.027,0.564,0.03,-0.033,2
10.405998015,2.515e-06,0.00019,0.324,0.061,-0.075,6.5036,0.0145,14488.8,22.4,11.23,2.92,833.0,113.94,90.01,745.2,1.0,0.18,-0.198,0.924,0.241,-0.16,0
2.337437946,1.951e-06,0.000659,0.28,0.189,-0.28,1.9982,0.0271,971.2,13.7,2.34,0.17,1070.0,311.16,69.46,82.4,1.0,0.012,-0.064,0.765,0.055,-0.028,2
